timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1785358291097,1186,POST /api/auth/login,201,Created,Carga - Flujo completo de usuario (10 usuarios) 1-7,text,true,,1833,339,10,10,https://finsense-backend-ypwx.onrender.com/api/auth/login,1185,0,206
1785358291639,905,GET /api/transactions,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-2,text,true,,24935,471,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,540,0,0
1785358291843,782,GET /api/auth/me,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-5,text,true,,2398,466,10,10,https://finsense-backend-ypwx.onrender.com/api/auth/me,782,0,0
1785358292281,425,GET /api/transactions,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-3,text,true,,24935,471,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,344,0,0
1785358292081,941,POST /api/auth/login,201,Created,Carga - Flujo completo de usuario (10 usuarios) 1-8,text,true,,1833,339,10,10,https://finsense-backend-ypwx.onrender.com/api/auth/login,941,0,228
1785358292737,515,GET /api/auth/me,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-6,text,true,,2398,466,10,10,https://finsense-backend-ypwx.onrender.com/api/auth/me,515,0,0
1785358293085,655,POST /api/auth/login,201,Created,Carga - Flujo completo de usuario (10 usuarios) 1-9,text,true,,1833,339,10,10,https://finsense-backend-ypwx.onrender.com/api/auth/login,655,0,203
1785358293915,779,GET /api/transactions,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-4,text,true,,24935,471,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,731,0,0
1785358294304,517,GET /api/auth/me,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-7,text,true,,2398,466,10,10,https://finsense-backend-ypwx.onrender.com/api/auth/me,516,0,0
1785358294095,726,POST /api/auth/login,201,Created,Carga - Flujo completo de usuario (10 usuarios) 1-10,text,true,,1833,339,10,10,https://finsense-backend-ypwx.onrender.com/api/auth/login,726,0,157
1785358294629,418,GET /api/transactions,200,OK,Carga - Flujo completo de usuario (10 usuarios) 1-5,text,true,,24996,471,10,10,https://finsense-backend-ypwx.onrender.com/api/transactions,371,0,0
